SubjectID,Group,Age,Sex,Status,Radius,Total_trials,mean_dist1,mean_dist2,mean_dist3,pstd_dist1,pstd_dist2,pstd_dist3,mean_angl1,mean_angl2,mean_angl3,pstd_angl1,pstd_angl2,pstd_angl3,mean_degrees1,mean_degrees2,mean_degrees3,pstd_degrees1,pstd_degrees2,pstd_degrees3
79S,Young,18,Male,,1,5,0.463087327,1.204343551,,0.233818052,0.34573632,,25.75961897,36.08898219,,17.02040583,10.76150836,,372.5886369,337.0418775,,31.6603768,32.21938721,
80S,Young,18,Male,,1,6,0.420323441,0.639771123,,0.109411011,0.238126686,,23.90039546,18.18560651,,6.480818568,7.200205536,,354.6501078,350.4747724,,26.40882783,18.6157205,
81S,Young,19,Male,,1,10,0.960663793,1.428317661,1.978834549,0.441434216,0.649389552,1.337383388,60.21328331,42.12637623,39.4915323,30.42540059,20.12884008,27.27451818,299.8612064,317.96469,322.0851533,32.10516299,21.20785544,32.00973132
82S,Young,18,Male,,1,9,0.394165241,0.605941571,1.846331746,0.172664932,0.280442933,1.405046959,22.12233353,16.93819367,37.62791784,11.36977424,8.716911478,31.04657909,364.1710353,368.5275962,388.5979572,25.97161423,17.98556508,43.27214385
83S,Young,19,Male,,1,8,0.75306877,1.40227506,2.513209038,0.35005997,0.556383226,1.78036123,47.88196262,42.19074261,54.17140136,25.31879708,17.94392906,42.16400644,405.5280827,370.9922354,308.1472068,31.42535688,46.91588055,50.28349959
84S,Young,18,Male,,1,10,0.471861781,1.015857193,1.07479238,0.220162757,0.651444577,0.722719653,27.39766104,30.24221286,21.02870314,13.29535477,20.73335357,14.56311421,349.0889637,330.7864636,354.6180586,30.01978606,23.47169835,26.2641504
85S,Young,18,Male,,1,10,0.471861781,1.015857193,1.07479238,0.220162757,0.651444577,0.722719653,27.39766104,30.24221286,21.02870314,13.29535477,20.73335357,14.56311421,271.1831848,246.8025346,203.9125762,40.95273239,34.11019717,21.85221
87S,Young,20,Male,,1,9,0.658954699,0.714391281,2.092532216,0.263122813,0.477603921,1.674621251,39.77454316,20.82849958,43.72775441,17.38671673,15.04714608,36.6156567,321.9603035,346.370863,349.4856327,21.78950463,23.16412866,60.42758401
89S,Young,22,Male,,1,7,0.977572026,1.656463032,2.581600795,0.419696616,0.850246381,1.602462496,65.53643191,51.76524456,54.22426995,33.08355283,30.3029111,35.33517345,426.1591297,402.7110259,409.1772847,35.77228421,44.52004183,45.1906193
93S,Young,18,Male,,1,7,0.354557223,1.848499554,2.074923742,0.214826504,1.269544268,1.079617458,21.06667649,63.91860456,41.56340126,13.89045745,52.63230921,22.26345469,345.2515053,436.8477718,375.2207527,20.83844023,90.78017274,47.77717357
99S,Young,21,Male,,1,9,0.687147346,1.925376677,3.575744201,0.458685698,0.946519313,1.431363269,43.42016995,63.89934481,77.63466153,31.79109893,39.69880887,34.90774289,400.0493729,424.9061466,422.2676285,39.69393063,47.76050928,63.97860537
103S,Young,28,Male,,1,10,0.794565508,1.175243017,1.389947599,0.35423014,0.418165404,0.872256294,49.26790005,34.56721094,26.86678038,23.83790884,12.78127342,17.41907148,314.5842649,324.2346552,391.0241605,24.75043585,13.22199911,133.5125554
