Subject#,shortcut,Shortcut liberal,Learned,Learned liberal,Reversed Learned,rev learned liberal,wandering,uncodable,Failure,shortcut_wliberal,learned,rev learned,Success,Soln Index,SI_true,SI_true_percent,SI_strict,Sum_trials,Success_dec,Success_percent,TrueEfficiency,TrueEfficiency_new,Time,Distance,Time_first_movement,Age,Sex,Status,Group
516,5,2,3,2,2,4,0,1,1,7,5,6,19,0.583333333,0.368421053,36.84210526,0.263157895,20,0.95,95,2.193645302,2.334663618,23.1215,327.3575,2.375,19,Male,,Young
519,3,5,3,3,1,1,0,3,1,8,6,2,19,0.571428571,0.421052632,42.10526316,0.157894737,20,0.95,95,2.190429575,2.283314346,21.12,316.925,2.2945,20,Male,,Young
520,5,4,0,1,0,4,0,6,0,9,1,4,20,0.9,0.45,45,0.25,20,1,100,2.743405508,2.743405508,17.6525,349.497,1.1055,18,Male,,Young
523,11,7,0,0,1,0,0,1,0,18,0,1,20,1,0.9,90,0.55,20,1,100,1.500570444,1.500570444,13.4,213.798,1.7045,18,Male,,Young
07S,9,5,0,0,2,0,2,2,0,14,0,2,20,1,0.7,70,0.45,20,1,100,2.057862152,2.057862152,14.349,255.84,1.925,21,Male,,Young
103S,7,6,0,2,0,1,0,4,0,13,2,1,20,0.866666667,0.65,65,0.35,20,1,100,2.264812763,2.264812763,19.1225,286.6245,1.9665,28,Male,,Young
17S,14,6,0,0,0,0,0,0,0,20,0,0,20,1,1,100,0.7,20,1,100,1.407658575,1.407658575,12.15,199.999,2.1435,21,Male,,Young
56S,7,5,0,3,0,0,0,5,0,12,3,0,20,0.8,0.6,60,0.35,20,1,100,2.010417871,2.010417871,15.507,284.131,1.7545,22,Male,,Young
70S,7,5,0,1,1,4,0,2,0,12,1,5,20,0.923076923,0.6,60,0.35,20,1,100,2.153426791,2.153426791,16.717,279.3135,2.264,23,Male,,Young
73S,5,4,2,3,0,2,1,2,1,9,5,2,19,0.642857143,0.473684211,47.36842105,0.263157895,20,0.95,95,2.484468446,3.097574569,22.165,376.284,2.058,22,Male,,Young
75S,7,5,1,2,0,1,2,2,0,12,3,1,20,0.8,0.6,60,0.35,20,1,100,2.23513125,2.23513125,16.96,292.6045,1.4025,18,Male,,Young
78S,7,3,1,1,0,4,1,1,2,10,2,4,18,0.833333333,0.555555556,55.55555556,0.388888889,20,0.9,90,2.195558134,2.63707284,20.1555,362.2425,1.84,19,Male,,Young
79S,8,4,0,1,0,3,2,2,0,12,1,3,20,0.923076923,0.6,60,0.4,20,1,100,2.225920153,2.225920153,16.6815,320.9855,0.8095,18,Male,,Young
80S,8,7,0,1,0,0,1,2,1,15,1,0,19,0.9375,0.789473684,78.94736842,0.421052632,20,0.95,95,1.761343239,1.910465684,17.876,262.294,2.4525,18,Male,,Young
81S,3,3,0,7,0,3,1,1,2,6,7,3,18,0.461538462,0.333333333,33.33333333,0.166666667,20,0.9,90,2.723828951,2.971116597,25.053,384.9655,2.4345,19,Male,,Young
82S,4,3,0,3,0,1,2,7,0,7,3,1,20,0.7,0.35,35,0.2,20,1,100,2.818298459,2.818298459,20.5455,403.2365,1.2955,18,Male,,Young
83S,7,5,0,1,0,4,1,1,1,12,1,4,19,0.923076923,0.631578947,63.15789474,0.368421053,20,0.95,95,2.081238492,2.317650405,17.885,321.6785,1.9155,19,Male,,Young
84S,6,5,0,2,0,2,1,4,0,11,2,2,20,0.846153846,0.55,55,0.3,20,1,100,2.207071353,2.207071353,14.812,272.357,0.7345,18,Male,,Young
85S,4,1,1,3,1,3,0,1,6,5,4,4,14,0.555555556,0.357142857,35.71428571,0.285714286,20,0.7,70,2.54789916,3.170206188,26.9675,433.5075,3.0485,18,Male,,Young
87S,4,2,0,5,2,1,0,5,1,6,5,3,19,0.545454545,0.315789474,31.57894737,0.210526316,20,0.95,95,2.515843632,2.584942121,23.853,330.246,2.703,20,Male,,Young
89S,3,1,5,5,1,2,1,0,2,4,10,3,18,0.285714286,0.222222222,22.22222222,0.166666667,20,0.9,90,2.860552477,3.173733752,22.362,415.455,1.8315,22,Male,,Young
93S,10,7,1,0,1,0,0,1,0,17,1,1,20,0.944444444,0.85,85,0.5,20,1,100,1.702820695,1.702820695,15.1025,231.3585,1.9515,18,Male,,Young
98S,1,3,6,4,3,1,0,1,1,4,10,4,19,0.285714286,0.210526316,21.05263158,0.052631579,20,0.95,95,2.522505649,2.640282052,22.718,347.5255,2.402,20,Male,,Young
99S,3,5,5,2,1,2,0,2,0,8,7,3,20,0.533333333,0.4,40,0.15,20,1,100,2.294323338,2.294323338,19.0195,305.701,1.2005,21,Male,,Young
